udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,source_dataset,twf,hdf,pwf,osf,rnf,failure_family
520,M15379,M,297.7,309.5,2027,19.8,39,0,No Failure,merged,0,0,0,0,0,No Failure
8735,L55914,L,297.2,308.6,1392,41.5,108,0,No Failure,merged,0,0,0,0,0,No Failure
3116,L50295,L,299.9,309.2,1658,34.8,16,0,No Failure,merged,0,0,0,0,0,No Failure
9231,L56410,L,298.2,309.2,1922,22.6,132,0,No Failure,merged,0,0,0,0,0,No Failure
7581,L54760,L,300.4,311.3,1495,51.2,175,0,No Failure,merged,0,0,0,0,0,No Failure
3756,L50935,L,302.3,311.0,1329,51.5,154,0,No Failure,merged,0,0,0,0,0,No Failure
4150,L51329,L,301.9,310.4,1603,37.6,69,0,No Failure,merged,0,0,0,0,0,No Failure
5025,L52204,L,303.9,313.1,1639,29.0,95,0,No Failure,merged,0,0,0,0,0,No Failure
9759,L56938,L,298.6,309.8,2271,16.2,218,1,Tool Wear Failure,merged,1,0,0,0,0,Tool Wear Failure
1490,M16349,M,298.2,309.0,1723,26.6,168,0,No Failure,merged,0,0,0,0,0,No Failure
2160,M17019,M,299.5,309.0,1602,31.3,210,0,No Failure,merged,0,0,0,0,0,No Failure
3421,L50600,L,301.6,310.6,1834,23.5,146,0,No Failure,merged,0,0,0,0,0,No Failure
7900,L55079,L,300.9,312.4,1364,52.5,125,0,No Failure,merged,0,0,0,0,0,No Failure
5815,M20674,M,301.3,311.0,1402,47.5,197,0,No Failure,merged,0,0,0,0,0,No Failure
8626,L55805,L,297.4,308.3,1632,33.5,39,0,No Failure,merged,0,0,0,0,0,No Failure
3242,H32655,H,300.9,309.5,1469,43.4,126,0,No Failure,merged,0,0,0,0,0,No Failure
8705,L55884,L,297.1,308.5,1425,40.0,35,0,No Failure,merged,0,0,0,0,0,No Failure
7156,M22015,M,300.2,309.9,1569,31.2,176,0,No Failure,merged,0,0,0,0,0,No Failure
3475,M18334,M,301.9,310.8,1557,35.3,65,0,No Failure,merged,0,0,0,0,0,No Failure
5803,L52982,L,301.4,310.8,1490,38.0,168,0,No Failure,merged,0,0,0,0,0,No Failure
8440,L55619,L,298.6,309.8,1637,34.6,207,0,No Failure,merged,0,0,0,0,0,No Failure
1797,H31210,H,298.1,307.6,1542,37.1,84,0,No Failure,merged,0,0,0,0,0,No Failure
2612,L49791,L,299.4,309.1,1957,22.1,55,0,No Failure,merged,0,0,0,0,0,No Failure
6773,L53952,L,301.3,310.7,1536,39.3,31,0,No Failure,merged,0,0,0,0,0,No Failure
5891,L53070,L,301.4,311.0,1634,32.6,155,0,No Failure,merged,0,0,0,0,0,No Failure
9950,M24809,M,298.2,307.8,1411,53.4,110,0,No Failure,merged,0,0,0,0,0,No Failure
